id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,107938.0,2144964325085,-0.94897,111814.0,67.81,29/05/2025
ethereum,2731.44,329752775537,3.58014,4878.26,0.432979,29/05/2025
tether,1.0,152952665904,-0.00823,1.32,0.572521,29/05/2025
ripple,2.28,134013695354,-0.39475,3.4,0.00268621,29/05/2025
binancecoin,684.46,99840969221,0.38278,788.84,0.0398177,29/05/2025
solana,172.79,89939264175,-0.90502,293.31,0.500801,29/05/2025
usd-coin,0.999807,61222745502,0.00468,1.17,0.877647,29/05/2025
dogecoin,0.224732,33584498418,0.81739,0.731578,8.69e-05,29/05/2025
cardano,0.752269,27140581510,0.22061,3.09,0.01925275,29/05/2025
tron,0.275541,26129587336,-0.40388,0.431288,0.00180434,29/05/2025
staked-ether,2727.07,24540734012,3.36941,4829.57,482.9,29/05/2025
wrapped-bitcoin,107793.0,13887804608,-0.88139,111685.0,3139.17,29/05/2025
sui,3.65,12184329640,-1.77633,5.35,0.364846,29/05/2025
wrapped-steth,3284.17,11554577117,3.69717,7256.02,558.54,29/05/2025
hyperliquid,34.47,11511267868,-2.81706,39.68,3.81,29/05/2025
chainlink,15.8,10385299543,-0.44016,52.7,0.148183,29/05/2025
avalanche-2,23.73,9994367533,1.89719,144.96,2.8,29/05/2025
stellar,0.285307,8885629665,-0.38024,0.875563,0.00047612,29/05/2025
shiba-inu,1.441e-05,8492669906,0.82525,8.616e-05,5.6366e-11,29/05/2025
bitcoin-cash,423.04,8407808240,1.39759,3785.82,76.93,29/05/2025
leo-token,9.04,8347431153,-0.26677,10.14,0.799859,29/05/2025
the-open-network,3.31,8251508707,10.92787,8.25,0.519364,29/05/2025
hedera-hashgraph,0.185863,7850772828,-0.15651,0.569229,0.00986111,29/05/2025
weth,2728.48,7405375006,3.49326,4799.89,82.1,29/05/2025
litecoin,97.05,7370484509,1.56152,410.26,1.15,29/05/2025
usds,0.999771,7087415718,-0.01548,1.057,0.948265,29/05/2025
polkadot,4.56,6950953673,0.64553,54.98,2.7,29/05/2025
wrapped-eeth,2912.28,6714473343,3.44625,4311.81,1505.24,29/05/2025
monero,344.14,6348206744,3.53406,542.33,0.216177,29/05/2025
bitget-token,5.31,6209424966,-0.41569,8.45,0.0142795,29/05/2025
pepe,1.45e-05,6100284444,5.40151,2.803e-05,5.5142e-08,29/05/2025
binance-bridged-usdt-bnb-smart-chain,0.998771,5975922239,-0.27358,1.05,0.942186,29/05/2025
ethena-usde,1.0,5223419480,-0.05021,1.032,0.929486,29/05/2025
pi-network,0.717634,5210578115,-3.24073,2.99,0.406999,29/05/2025
coinbase-wrapped-btc,107922.0,4620563856,-0.90437,112129.0,57439.0,29/05/2025
whitebit,31.5,4540330324,-1.30212,32.43,3.06,29/05/2025
uniswap,7.16,4293785610,5.91653,44.92,1.03,29/05/2025
aave,270.05,4088590913,0.10308,661.69,26.02,29/05/2025
dai,0.999863,3788983028,0.01315,1.22,0.88196,29/05/2025
bittensor,429.65,3748429411,-3.98492,757.6,30.83,29/05/2025
near,2.94,3592553314,4.01736,20.44,0.526762,29/05/2025
aptos,5.38,3403027819,0.41894,19.92,3.08,29/05/2025
jito-staked-sol,208.22,3152173798,-0.78657,339.52,0.57898,29/05/2025
okb,52.3,3137289623,0.6163,73.8,0.580608,29/05/2025
tokenize-xchange,38.58,3086471769,2.47634,50.43,0.111255,29/05/2025
ondo-finance,0.936089,2957409087,-0.9295,2.14,0.082171,29/05/2025
crypto-com-chain,0.098066,2927517763,0.6476,0.965407,0.0121196,29/05/2025
blackrock-usd-institutional-digital-liquidity-fund,1.0,2919901514,0.0,1.0,1.0,29/05/2025
internet-computer,5.44,2900709730,2.19888,700.65,2.87,29/05/2025
ethereum-classic,18.79,2857772826,0.87452,167.09,0.615038,29/05/2025
ethena-staked-usde,1.17,2849273872,-0.01817,1.29,1.012,29/05/2025
kaspa,0.101435,2662074037,-2.56111,0.207411,0.00017105,29/05/2025
official-trump,12.49,2497786781,-2.41736,73.43,4.29,29/05/2025
